0,1,2,3,4,5,6
,,,,,,
JADWAL PELAJARAN KELAS IV JENDRAL SUDIRMAN,,,,,,
SD MUHAMMADIYAH 49,,,,,,
TAHUN PELAJARAN 2026 - 2027,,,,,,
,,,,,,
,,,,,,
Jam Ke,Waktu,Senin,Selasa,Rabu,Kamis,Jum'at
,07.00-07.30,Upacara Bendera,Pembiasaan Pagi,Pembiasaan Pagi,Senam ,Pembiasaan Pagi
1,07.30-08.05,,Kemuhammadiyahan ,Pend. Pancasila,IPAS,Bahasa Indonesia
2,08.05-08.40,Pend. Pancasila,Kemuhammadiyahan ,Informatika,IPAS,Bahasa Indonesia
3,08.40-09.10,Pend. Pancasila,IPAS,Informatika,IPAS,Seni Budaya
,09.10-09.40,I  S  H  O  M  A,,,,
4,09.40-10.15,PLBJ,IPAS,Hizbul Wathan,Seni Budaya,Seni Budaya
5,10.15-10.50,PLBJ,IPAS,Hizbul Wathan,Seni Budaya,Tahsin
6,10.50-11.25,Tapak Suci,Al  Islam,Pend. Pancasila,Bahasa Arab,Tahsin
7,11.25-12.00,Tapak Suci,Al  Islam,Pend. Pancasila,Bahasa Arab,-
,12.00-12.50,I  S  H  O  M  A,,,,
8,12.50-13.25,Bahasa Inggris,Tahfizd,Bahasa Indonesia,PJOK,Matematika
9,13.25-14.00,Bahasa Inggris,Tahfizd,Bahasa Indonesia,PJOK,Matematika
10,14.00-14.35,Matematika,Bahasa Indonesia,Matematika,Praktek Shalat,-
11,14.35-15.10,Matematika,Bahasa Indonesia,Matematika,Praktek Shalat,-
,,,,,,
"Pembiasaan Pagi : Sholat Dhuha, Tilawah Dan Literasi",,,,,,
,,,,,,
,Kepala Sekolah,,,,Guru Kelas,
,,,,,,
,,,,,,
,,,,,,
,"Arief Khairul Huda, S.Pd.,M.Pd.,Gr.",,,,"Shinta Octavia, S.S.,Gr",
,,,,,,
,,,,,,
JADWAL PELAJARAN KELAS V KH. MAS MANSYUR,,,,,,
SD MUHAMMADIYAH 49,,,,,,
TAHUN PELAJARAN 2026 - 2027,,,,,,
,,,,,,
,,,,,,
Jam Ke,Waktu,Senin,Selasa,Rabu,Kamis,Jum'at
,07.00-07.30,Upacara Bendera,Pembiasaan Pagi,Pembiasaan Pagi,Senam ,Pembiasaan Pagi
1,07.30-08.05,,IPAS,Pend. Pancasila,IPAS,Bahasa Arab
2,08.05-08.40,Bahasa Indonesia,IPAS,Pend. Pancasila,Informatika,Bahasa Arab
3,08.40-09.10,Bahasa Indonesia,IPAS,Pend. Pancasila,Informatika,Seni Budaya
,09.10-09.40,I  S  T  I  R  A  H  A  T,,,,
4,09.40-10.15,Matematika,Tapak Suci,Matematika,IPAS,Seni Budaya
5,10.15-10.50,Matematika,Tapak Suci,Matematika,IPAS,Matematika
6,10.50-11.25,Al Islam,Bahasa Indonesia,Hizbul Wathan,Tahfizd,Matematika
7,11.25-12.00,Al Islam,Bahasa Indonesia,Hizbul Wathan,Tahfizd,-
,12.00-12.50,I  S  H  O  M  A,,,,
8,12.50-13.25,PLBJ,Bahasa Inggris,Bahasa Indonesia,Tahsin,Praktek Shalat
9,13.25-14.00,PLBJ,Bahasa Inggris,Bahasa Indonesia,Tahsin,Praktek Shalat
10,14.00-14.35,PJOK,Pend. Pancasila,Kemuhammadiyahan,Seni Budaya,-
11,14.35-15.10,PJOK,Pend. Pancasila,Kemuhammadiyahan,Seni Budaya,-
,,,,,,
"Pembiasaan Pagi : Sholat Dhuha, Tilawah Dan Literasi",,,,,,
,,,,,,
,,,,,,
,Kepala Sekolah,,,,Guru Kelas,
,,,,,,
,,,,,,
,,,,,,
,"Arief Khairul Huda, S.Pd.,M.Pd.,Gr.",,,,"Sekar Ajeng Resti Octaviana, S.Pd.Gr",
,,,,,,
,,,,,,
JADWAL PELAJARAN KELAS V SITI BARIAH,,,,,,
SD MUHAMMADIYAH 49,,,,,,
TAHUN PELAJARAN 2026 - 2027,,,,,,
,,,,,,
,,,,,,
Jam Ke,Waktu,Senin,Selasa,Rabu,Kamis,Jum'at
,07.00-07.30,Upacara Bendera,Pembiasaan Pagi,Pembiasaan Pagi,Senam ,Pembiasaan Pagi
1,07.30-08.05,,IPAS,Pend. Pancasila,IPAS,Pend. Pancasila
2,08.05-08.40,Bahasa Indonesia,IPAS,Pend. Pancasila,IPAS,Informatika
3,08.40-09.10,Bahasa Indonesia,IPAS,Pend. Pancasila,IPAS,Informatika
,09.10-09.40,I  S  T  I  R  A  H  A  T,,,,
4,09.40-10.15,Al Islam,Tapak Suci,Bahasa Inggris,Bahasa Arab,Pend. Pancasila
5,10.15-10.50,Al Islam,Tapak Suci,Bahasa Inggris,Bahasa Arab,Matematika
6,10.50-11.25,Matematika,Kemuhammadiyahan,Hizbul Wathan,Matematika,Matematika
7,11.25-12.00,Matematika,Kemuhammadiyahan,Hizbul Wathan,Matematika,-
,12.00-12.50,I  S  H  O  M  A,,,,
8,12.50-13.25,Seni Budaya,Bahasa Indonesia,Bahasa Indonesia,PLBJ,Praktek Shalat
9,13.25-14.00,Seni Budaya,Bahasa Indonesia,Bahasa Indonesia,PLBJ,Praktek Shalat
10,14.00-14.35,PJOK,Tahfizd,Seni Budaya,Tahsin,-
11,14.35-15.10,PJOK,Tahfizd,Seni Budaya,Tahsin,-
,,,,,,
"Pembiasaan Pagi : Sholat Dhuha, Tilawah Dan Literasi",,,,,,
,,,,,,
,,,,,,
,Kepala Sekolah,,,,Guru Kelas,
,,,,,,
,,,,,,
,,,,,,
,"Arief Khairul Huda, S.Pd.,M.Pd.,Gr.",,,,"Dewi Kusumawati, S.Pd.Gr",
,,,,,,
,,,,,,
JADWAL PELAJARAN KELAS VI AMIEN RAIS,,,,,,
SD MUHAMMADIYAH 49,,,,,,
TAHUN PELAJARAN 2026 - 2027,,,,,,
,,,,,,
,,,,,,
Jam Ke,Waktu,Senin,Selasa,Rabu,Kamis,Jum'at
,07.00-07.30,Upacara Bendera,Pembiasaan Pagi,Pembiasaan Pagi,Senam ,Pembiasaan Pagi
1,07.30-08.05,,IPAS,Bahasa Arab,IPAS,Al Islam
2,08.05-08.40,Bahasa Indonesia,IPAS,Bahasa Arab,Matematika,Al Islam
3,08.40-09.10,Bahasa Indonesia,IPAS,Pend. Pancasila,Matematika,Pend. Pancasila
,09.10-09.40,I  S  T  I  R  A  H  A  T,,,,
4,09.40-10.15,Informatika,Matematika,Tahfizd,IPAS,Pend. Pancasila
5,10.15-10.50,Informatika,Matematika,Tahfizd,IPAS,Bahasa Indonesia
6,10.50-11.25,Matematika,Tapak Suci,Hizbul Wathan,Bahasa Inggris,Bahasa Indonesia
7,11.25-12.00,Matematika,Tapak Suci,Hizbul Wathan,Bahasa Inggris,-
,12.00-12.50,I  S  H  O  M  A,,,,
8,12.50-13.25,Kemuhammadiyahan,Tahsin,PLBJ,Praktek Shalat,PJOK
9,13.25-14.00,Kemuhammadiyahan,Tahsin,PLBJ,Praktek Shalat,PJOK
10,14.00-14.35,Seni Budaya,Bahasa Indonesia,Pend. Pancasila,Seni Budaya,-
11,14.35-15.10,Seni Budaya,Bahasa Indonesia,Pend. Pancasila,Seni Budaya,-
,,,,,,
"Pembiasaan Pagi : Sholat Dhuha, Tilawah Dan Literasi",,,,,,
,,,,,,
,,,,,,
,Kepala Sekolah,,,,Guru Kelas,
,,,,,,
,,,,,,
,,,,,,
,"Arief Khairul Huda, S.Pd.,M.Pd.,Gr.",,,,"Rima Kusumandari, S.Pd.Gr",
,,,,,,
,,,,,,
JADWAL PELAJARAN KELAS VI DIN SYAMSUDDIN,,,,,,
SD MUHAMMADIYAH 49,,,,,,
TAHUN PELAJARAN 2026 - 2027,,,,,,
,,,,,,
,,,,,,
Jam Ke,Waktu,Senin,Selasa,Rabu,Kamis,Jum'at
,07.00-07.30,Upacara Bendera,Pembiasaan Pagi,Pembiasaan Pagi,Senam ,Pembiasaan Pagi
1,07.30-08.05,,IPAS,Pend. Pancasila,IPAS,Bahasa Indonesia
2,08.05-08.40,PLBJ,IPAS,Al Islam,Tahsin,Bahasa Indonesia
3,08.40-09.10,PLBJ,IPAS,Al Islam,Tahsin,Pend. Pancasila
,09.10-09.40,I  S  T  I  R  A  H  A  T,,,,
4,09.40-10.15,Matematika,Tahfizd,Matematika,Matematika,Pend. Pancasila
5,10.15-10.50,Matematika,Tahfizd,Matematika,Matematika,Seni Budaya
6,10.50-11.25,Bahasa Inggris,Tapak Suci,Hizbul Wathan,Bahasa Indonesia,Seni Budaya
7,11.25-12.00,Bahasa Inggris,Tapak Suci,Hizbul Wathan,Bahasa Indonesia,-
,12.00-12.50,I  S  H  O  M  A,,,,
8,12.50-13.25,Bahasa Arab,Informatika,Kemuhammadiyahan,Praktek Shalat,PJOK
9,13.25-14.00,Bahasa Arab,Informatika,Kemuhammadiyahan,Praktek Shalat,PJOK
10,14.00-14.35,Seni Budaya,Bahasa Indonesia,Pend. Pancasila,IPAS,-
11,14.35-15.10,Seni Budaya,Bahasa Indonesia,Pend. Pancasila,IPAS,-
,,,,,,
"Pembiasaan Pagi : Sholat Dhuha, Tilawah Dan Literasi",,,,,,
,,,,,,
,,,,,,
,Kepala Sekolah,,,,Guru Kelas,
,,,,,,
,,,,,,
,,,,,,
,"Arief Khairul Huda, S.Pd.,M.Pd.,Gr.",,,,"Sahara Tuti, S.Pd.Gr",
