0,1,2,3,4,5,6
,,,,,,
JADWAL PELAJARAN KELAS I AHMAD DAHLAN,,,,,,
SD MUHAMMADIYAH 49,,,,,,
TAHUN PELAJARAN 2026-2027,,,,,,
,,,,,,
,,,,,,
Jam Ke,Waktu,Senin,Selasa,Rabu,Kamis,Jum'at
,07.00-07.30,Upacara Bendera,Pembiasaan Pagi,Pembiasaan Pagi,Senam,Pembiasaan Pagi
1,07.30-08.05,,Pend. Pancasila,Hizbul Wathan,PJOK,Tahfizd
2,08.05-08.40,Pend. Pancasila,Pend. Pancasila,Hizbul Wathan,PJOK,Tahfizd
,08.40-09.10,I  S  T  I  R  A  H  A  T,,,,
3,09.10-09.40,Pend. Pancasila,Matematika,Matematika,Seni Budaya,Matematika
4,09.40-10.15,PLBJ,Matematika,Matematika,Bahasa Inggris,Matematika
5,10.15-10.50,PLBJ,Bahasa Indonesia,Seni Budaya,Bahasa Inggris,Pend. Pancasila
6,10.50-11.25,Bahasa Indonesia,Bahasa Indonesia,Praktek Shalat,Seni Budaya,Pend. Pancasila
7,11.25-12.00,Bahasa Indonesia,Bahasa Indonesia,Praktek Shalat,Seni Budaya,-
,12.00-12.50,I  S  H  O  M  A,,,,
8,12.50-13.25,Tahsin,Al Islam,Seni Budaya,Bahasa Indonesia,-
9,13.25-14.00,Tahsin,Al Islam,Seni Budaya,Bahasa Indonesia,-
,,,,,,
"Pembiasaan Pagi : Sholat Dhuha, Tilawah Dan Literasi",,,,,,
,,,,,,
,,,,,,
,Kepala Sekolah,,,,Guru Kelas,
,,,,,,
,,,,,,
,,,,,, 
,"Arief Khairul Huda, S.Pd.,M.Pd.,Gr.",,,,"Jurahmin, S.Pd.I., Gr.",
,,,,,,
JADWAL PELAJARAN KELAS I Ir. SOEKARNO,,,,,,
SD MUHAMMADIYAH 49,,,,,,
TAHUN PELAJARAN 2026-2027,,,,,,
,,,,,,
,,,,,,
Jam Ke,Waktu,Senin,Selasa,Rabu,Kamis,Jum'at
,07.00-07.30,Upacara Bendera,Pembiasaan Pagi,Pembiasaan Pagi,Senam ,Pembiasaan Pagi
1,07.30-08.05,,Tahfizd,Hizbul Wathan,Bahasa Indonesia,Matematika
2,08.05-08.40,Pend. Pancasila,Tahfizd,Hizbul Wathan,Bahasa Indonesia,Matematika
,08.40-09.10,I  S  T  I  R  A  H  A  T,,,,
3,09.10-09.40,Pend. Pancasila,Matematika,Seni Budaya,Matematika,PJOK
4,09.40-10.15,Tahsin,Matematika,Seni Budaya,Matematika,PJOK
5,10.15-10.50,Tahsin,Bahasa Indonesia,Seni Budaya,Seni Budaya,Pend. Pancasila
6,10.50-11.25,Bahasa Indonesia,Bahasa Indonesia,Bahasa Inggris,Seni Budaya,Pend. Pancasila
7,11.25-12.00,Bahasa Indonesia,Bahasa Indonesia,Bahasa Inggris,Seni Budaya,-
,12.00-12.50,I  S  H  O  M  A,,,,
8,12.50-13.25,PLBJ,Praktek Shalat,Pend. Pancasila,Al Islam,-
9,13.25-14.00,PLBJ,Praktek Shalat,Pend. Pancasila,Al Islam,-
,,,,,,
"Pembiasaan Pagi : Sholat Dhuha, Tilawah Dan Literasi",,,,,,
,,,,,,
,,,,,,
,Kepala Sekolah,,,,Guru Kelas,
,,,,,,
,,,,,,
,,,,,,
,"Arief Khairul Huda, S.Pd.,M.Pd.,Gr.",,,,"Fathan Faqih Ali, S.Pd",
,,,,,,
,,,,,,
JADWAL PELAJARAN KELAS I SITI WALIDAH,,,,,,
SD MUHAMMADIYAH 49,,,,,,
TAHUN PELAJARAN 2026-2027,,,,,,
,,,,,,
,,,,,,
Jam Ke,Waktu,Senin,Selasa,Rabu,Kamis,Jum'at
,07.00-07.30,Upacara Bendera,Pembiasaan Pagi,Pembiasaan Pagi,Senam ,Pembiasaan Pagi
1,07.30-08.05,,Matematika,Hizbul Wathan ,Pend. Pancasila,Matematika
2,08.05-08.40,Pend. Pancasila,Matematika,Hizbul Wathan ,Pend. Pancasila,Matematika
,08.40-09.10,I  S  T  I  R  A  H  A  T,,,,
3,09.10-09.40,Pend. Pancasila,Seni Budaya,Matematika,PJOK,Tahfizd
4,09.40-10.15,Praktek Shalat,Bahasa Inggris,Matematika,PJOK,Tahfizd
5,10.15-10.50,Praktek Shalat,Bahasa Inggris,Bahasa Indonesia,Seni Budaya,Pend. Pancasila
6,10.50-11.25,Al Islam,Seni Budaya,Bahasa Indonesia,Seni budaya,Pend. Pancasila
7,11.25-12.00,Al Islam,Seni Budaya,Bahasa Indonesia,Seni Budaya,-
,12.00-12.50,I  S  H  O  M  A,,,,
